実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2020暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2020) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"497,330.4 ","278,522.2 ","273,435.1 ","231,036.7 ","30,094.0 ","80,930.4 ","-1,347.2 ","87,370.2 ","39,611.8 ",-27.3 ,"-10,836.7 ","42,988.4 ","53,825.1 ","-6,986.9 ",,"15,204.6 ","512,535.0 ","8,278.2 ","11,673.5 ","3,395.2 ","520,813.2 ",,"513,062.7 ","387,656.6 ","125,394.8 ",,"149,041.2 ",,"498,033.0 ",,,
2002/ 1- 3.,"498,591.8 ","280,259.6 ","275,266.5 ","232,628.8 ","29,732.4 ","80,576.3 ","-3,353.9 ","87,488.2 ","39,855.0 ",-89.4 ,"-9,369.3 ","44,962.1 ","54,331.3 ","-6,507.1 ",,"15,133.5 ","513,725.3 ","8,069.3 ","11,152.8 ","3,083.5 ","521,794.7 ",,"512,508.1 ","386,793.3 ","125,690.1 ",,"148,581.1 ",,"501,204.9 ",,,
4- 6.,"502,170.0 ","282,276.9 ","277,441.3 ","234,574.7 ","29,896.4 ","79,438.5 ","-2,390.7 ","87,684.6 ","38,908.2 ",-24.9 ,"-7,737.5 ","48,199.9 ","55,937.4 ","-5,881.5 ",,"15,064.2 ","517,234.2 ","7,291.8 ","10,547.5 ","3,255.7 ","524,526.0 ",,"513,843.6 ","388,712.0 ","125,099.0 ",,"146,646.0 ",,"503,824.4 ",,,
7- 9.,"503,715.2 ","282,346.7 ","277,618.7 ","234,544.9 ","29,876.6 ","80,507.6 ","-1,460.4 ","88,367.2 ","38,800.4 ",-57.1 ,"-9,123.7 ","48,708.9 ","57,832.6 ","-5,542.1 ",,"14,986.9 ","518,702.1 ","7,472.4 ","10,876.9 ","3,404.5 ","526,174.5 ",,"516,493.5 ","390,780.3 ","125,677.3 ",,"147,667.0 ",,"504,529.9 ",,,
10-12.,"504,891.6 ","281,368.8 ","276,608.9 ","233,315.6 ","29,579.3 ","80,504.6 ",522.4 ,"88,241.2 ","38,328.4 ",-164.4 ,"-8,303.4 ","50,343.7 ","58,647.1 ","-5,185.3 ",,"15,259.6 ","520,151.2 ","7,127.1 ","10,442.8 ","3,315.8 ","527,278.2 ",,"516,518.7 ","391,457.8 ","125,027.2 ",,"146,965.7 ",,"503,956.6 ",,,
2003/ 1- 3.,"504,311.4 ","281,691.5 ","276,767.3 ","233,245.9 ","29,499.1 ","80,207.9 ",-361.0 ,"88,804.5 ","37,448.1 ",-77.0 ,"-8,019.4 ","51,019.6 ","59,038.9 ","-4,882.2 ",,"13,738.0 ","518,049.4 ","7,749.6 ","10,899.5 ","3,149.9 ","525,799.0 ",,"515,475.4 ","390,548.9 ","124,898.5 ",,"145,760.9 ",,"504,121.8 ",,,
4- 6.,"508,472.4 ","282,589.6 ","277,468.0 ","233,718.2 ","29,550.8 ","81,235.3 ",-776.4 ,"89,513.9 ","37,577.4 ",71.7 ,"-6,040.3 ","51,094.7 ","57,135.0 ","-5,249.5 ",,"14,430.5 ","522,902.9 ","7,945.0 ","10,881.5 ","2,936.5 ","530,847.8 ",,"518,059.7 ","392,152.0 ","125,879.7 ",,"147,012.8 ",,"508,535.3 ",,,
7- 9.,"509,947.8 ","282,805.0 ","277,541.1 ","233,529.3 ","30,115.1 ","79,421.6 ","1,641.9 ","89,949.1 ","36,682.6 ",-98.0 ,"-5,606.2 ","52,907.1 ","58,513.4 ","-4,963.3 ",,"14,471.6 ","524,419.4 ","9,491.4 ","12,333.5 ","2,842.1 ","533,910.8 ",,"518,696.4 ","393,306.3 ","125,370.9 ",,"144,756.3 ",,"507,923.7 ",,,
10-12.,"515,104.6 ","286,021.0 ","280,704.3 ","236,557.7 ","29,797.7 ","82,467.0 ",-528.4 ,"90,309.8 ","35,926.5 ",-374.1 ,"-4,282.5 ","55,600.9 ","59,883.4 ","-4,232.3 ",,"14,768.8 ","529,873.4 ","8,508.2 ","11,225.3 ","2,717.2 ","538,381.6 ",,"522,129.1 ","397,311.6 ","124,812.2 ",,"146,998.8 ",,"515,330.7 ",,,
2004/ 1- 3.,"519,511.2 ","286,549.2 ","281,267.8 ","236,930.4 ","30,295.0 ","82,313.0 ","2,549.0 ","90,814.2 ","34,433.7 ",-326.6 ,"-3,303.7 ","58,354.0 ","61,657.7 ","-3,812.7 ",,"13,992.7 ","533,503.9 ","9,525.6 ","12,234.9 ","2,709.3 ","543,029.5 ",,"525,139.3 ","401,099.6 ","124,036.8 ",,"145,894.9 ",,"516,812.5 ",,,
4- 6.,"519,133.1 ","286,475.9 ","281,244.5 ","236,736.4 ","30,841.6 ","81,861.4 ","1,246.6 ","90,343.5 ","34,316.0 ",58.2 ,"-2,493.9 ","60,207.5 ","62,701.5 ","-3,516.2 ",,"13,084.3 ","532,217.4 ","10,212.7 ","13,122.3 ","2,909.5 ","542,430.1 ",,"523,583.1 ","399,772.0 ","123,804.1 ",,"145,797.7 ",,"517,308.2 ",,,
